Code,Name,Alias Name,Is Cash,Is Active,Parent Code,Parent Name,Classification Code,Classification Name,Header
1,Harta,Asset,false,true,,,,,true
100000000,Harta,Asset,false,true,1,Harta,1,Harta,true
110000000,Harta Lancar,Current Asset,false,true,1,Harta,1,Harta,true
111000000,Kas Dan Setara Kas,Cash & Equivalent,false,true,110000000,Harta Lancar,1,Harta,true
111100000,Kas,Cash,false,true,111000000,Kas Dan Setara Kas,1,Harta,true
111100001,Kas Kecil,Petty Cash,true,true,111100000,Kas,1,Harta,false
111100002,Kas,Kas,true,true,111100000,Kas,1,Harta,false
111200000,Dompet Digital,E-Wallet,false,true,111000000,Kas Dan Setara Kas,1,Harta,true
111200001,Gopay,Gopay,true,true,111200000,Dompet Digital,1,Harta,false
111200002,Ovo,Ovo,true,true,111200000,Dompet Digital,1,Harta,false
111200003,ShopeePay,ShopeePay,true,true,111200000,Dompet Digital,1,Harta,false
111200099,Dompet Digital Lain,Other E-Wallet,true,true,111200000,Dompet Digital,1,Harta,false
111300000,Bank,Bank,false,true,1,Harta,1,Harta,true
111300001,Bank,Bank,true,true,111300000,Bank,1,Harta,false
112000000,Surat Berharga,Securities,false,true,110000000,Harta Lancar,1,Harta,true
112000001,Deposito,Deposito,false,true,112000000,Surat Berharga,1,Harta,false
113000000,Piutang,Account Receivable,false,true,110000000,Harta Lancar,1,Harta,true
113100000,Piutang Usaha,Piutang Usaha,false,true,1,Harta,1,Harta,true
113100001,Piutang Usaha,Piutang Usaha,false,true,113100000,Piutang Usaha,1,Harta,false
113200000,Piutang Lain,Other Receivable,false,true,113000000,Piutang,1,Harta,true
113200001,Piutang Belum Terbit Faktur,Account Receivable Have Not Been Invoiced,false,true,113200000,Piutang Lain,1,Harta,false
113200002,Piutang Giro,Post-dated Receivable,false,true,113200000,Piutang Lain,1,Harta,false
113200003,Piutang Karyawan,Employee Receivable,false,true,113200000,Piutang Lain,1,Harta,false
113200004,Piutang Pihak Ketiga,Third Party Receivable,false,true,113200000,Piutang Lain,1,Harta,false
113200099,Piutang Lain,Piutang Lain,false,true,113200000,Piutang Lain,1,Harta,false
113300000,Cadangan Kerugian Piutang,Allowance For Doubtful Receivable,false,true,113000000,Piutang,1,Harta,true
113300001,Cadangan Kerugian Piutang Usaha,Cadangan Kerugian Piutang Usaha,false,true,113300000,Cadangan Kerugian Piutang,1,Harta,false
113300099,Cadangan Kerugian Piutang Lainnya,Allowance For Doubtful Other Receivable,false,true,113300000,Cadangan Kerugian Piutang,1,Harta,false
114000000,Persediaan,Persediaan,false,true,1,Harta,1,Harta,true
114000001,Persediaan,Persediaan,false,true,114000000,Persediaan,1,Harta,false
115000000,Uang Muka Pengeluaran,Advance Expenditure,false,true,110000000,Harta Lancar,1,Harta,true
115000001,Uang Muka Pengeluaran Umum,General Advance Expenditure,false,true,115000000,Uang Muka Pengeluaran,1,Harta,false
116000000,Biaya Dibayar Dimuka,Prepaid Expenses,false,true,110000000,Harta Lancar,1,Harta,true
116100000,Biaya Dibayar Dimuka Umum,General Prepaid Expenses,false,true,116000000,Biaya Dibayar Dimuka,1,Harta,true
116100001,Sewa Dibayar Dimuka,Prepaid Rent,false,true,116100000,Biaya Dibayar Dimuka Umum,1,Harta,false
116100002,Asuransi Dibayar Dimuka,Prepaid Insurance,false,true,116100000,Biaya Dibayar Dimuka Umum,1,Harta,false
116100099,Biaya Dibayar Dimuka Lain,Other Prepaid Expense,false,true,116100000,Biaya Dibayar Dimuka Umum,1,Harta,false
116200000,Pajak Dibayar Dimuka,Prepaid Taxes,false,true,116000000,Biaya Dibayar Dimuka,1,Harta,true
116200001,PPN Masukan,VAT In,false,true,116200000,Pajak Dibayar Dimuka,1,Harta,false
116200002,PPh Pasal 23-2 Dibayar Dimuka,Prepaid Income Tax Article 23-2,false,true,116200000,Pajak Dibayar Dimuka,1,Harta,false
116200003,PPh Pasal 23-4 Dibayar Dimuka,Prepaid Income Tax Article 23-4,false,true,116200000,Pajak Dibayar Dimuka,1,Harta,false
116200004,PPh Pasal 4 ayat 2 Dibayar Dimuka,Prepaid Income Tax Article 4 paragraph 2,false,true,116200000,Pajak Dibayar Dimuka,1,Harta,false
116200005,PPh Pasal 25 Dibayar Dimuka,Prepaid Income Tax Article 25,false,true,116200000,Pajak Dibayar Dimuka,1,Harta,false
116200006,Pajak Dibayar Dimuka,Pajak Dibayar Dimuka,false,true,116200000,Pajak Dibayar Dimuka,1,Harta,false
116200007,PPh 23-2 Dibayar Dimuka,PPh 23-2 Dibayar Dimuka,false,true,116200000,Pajak Dibayar Dimuka,1,Harta,false
116200008,PPh 4.2 Dibayar Dimuka,PPh 4.2 Dibayar Dimuka,false,true,116200000,Pajak Dibayar Dimuka,1,Harta,false
116200009,PPh 23-4 Dibayar Dimuka,PPh 23-4 Dibayar Dimuka,false,true,116200000,Pajak Dibayar Dimuka,1,Harta,false
116200010,PPN Masukan,PPN Masukan,false,true,116200000,Pajak Dibayar Dimuka,1,Harta,false
116200011,ppnbm20 Dibayar Dimuka,ppnbm20 Dibayar Dimuka,false,true,116200000,Pajak Dibayar Dimuka,1,Harta,false
117000000,Pendapatan Yang Akan Diterima,Accrued Income,false,true,110000000,Harta Lancar,1,Harta,true
117000001,Pendapatan Yang Akan Diterima,Accrued Income,false,true,117000000,Pendapatan Yang Akan Diterima,1,Harta,false
118000000,Investasi,Investments,false,true,110000000,Harta Lancar,1,Harta,true
118000001,Investasi Saham,Stock Investment,false,true,118000000,Investasi,1,Harta,false
119000000,Harta Lancar,Other Current Assets,false,true,110000000,Harta Lancar,1,Harta,true
119000001,Harta Lancar,Other Current Assets,false,true,119000000,Harta Lancar,1,Harta,false
120000000,Harta Tetap,Fixed Assets,false,true,100000000,Harta,1,Harta,true
121000000,Harta Tetap,Fixed Assets,false,true,120000000,Harta Tetap,1,Harta,true
121000001,Tanah,Land,false,true,121000000,Harta Tetap,1,Harta,false
121000002,Bangunan,Building,false,true,121000000,Harta Tetap,1,Harta,false
121000003,Mesin & Peralatan,Machinery & Equipment,false,true,121000000,Harta Tetap,1,Harta,false
121000004,Kendaraan,Vehicle,false,true,121000000,Harta Tetap,1,Harta,false
