Akun,Nama Akun,Tipe Akun
100000,Kas & Bank,Kas/Bank
10000100,Kas Kecil,Kas/Bank
100001100,Kas Kecil,Kas/Bank
10000200,Bank Central Asia (Rp.) 369.300.4141,Kas/Bank
10000400,Kas Besar,Kas/Bank
100100,Deposito,Kas/Bank
109900,Ayat Silang,Aktiva Lancar lainnya
110000,Piutang,Akun Piutang
11000200,Piutang Dagang,Akun Piutang
11000300,Account Receivable IDR,Akun Piutang
11000400,Advance Purchase IDR,Akun Piutang
120000,Persediaan Barang Dagang,Persediaan
120100,Barang Terkirim,Persediaan
130000,Perlengkapan,Aktiva Lancar lainnya
140000,PPh Psl 21 Dibayar Dimuka,Aktiva Lancar lainnya
140100,PPh Psl 25 Dibayar Dimuka,Aktiva Lancar lainnya
140200,PPh Psl 23 Dibayar Dimuka,Aktiva Lancar lainnya
140300,Piutang Lain-lain,Aktiva Lancar lainnya
140400,Piutang Karyawan,Aktiva Lancar lainnya
140500,Uang Muka Lain-lain,Aktiva Lancar lainnya
160000,PPn Masukan,Aktiva Lancar lainnya
170000,Aktiva Tetap,Aktiva Tetap
17000100,Tanah,Aktiva Tetap
17000200,Gedung,Aktiva Tetap
17000300,Kendaraan,Aktiva Tetap
17000400,Peralatan Kantor Gol 1,Aktiva Tetap
17000500,Peralatan Kantor Gol II,Aktiva Tetap
171000,Akumulasi Penyusutan Aktiva Tetap,Akumulasi Penyusutan
17100100,Akumulasi Penyusutan Gedung,Akumulasi Penyusutan
17100200,Akumulasi Penyusutan Kendaraan,Akumulasi Penyusutan
17100300,Akumulasi Penyusutan Peralatan Kantor Gol I,Akumulasi Penyusutan
17100400,Akumulasi Penyusutan Peralatan Kantor Gol II,Akumulasi Penyusutan
180000,Transaksi Aktiva Tetap,Aktiva Lainnya
200000,Hutang,Akun Hutang
210100,Hutang Dagang,Akun Hutang
210200,Advance Sales IDR,Akun Hutang
210300,Uang Muka Penjualan,Akun Hutang
220000,Hutang Pembelian Belum Ditagih,Hutang lancar lainnya
22000100,Hutang Gaji,Hutang lancar lainnya
220100,PPn Keluaran,Hutang lancar lainnya
220200,Piutang Lain-lain,Hutang lancar lainnya
220300,Hutang PPh Psl 21,Hutang lancar lainnya
220400,Hutang PPh 23,Hutang lancar lainnya
220500,Hutang PPh Psl 25/29,Hutang lancar lainnya
220600,Hutang PPh Final Psl 4(2),Hutang lancar lainnya
220700,Hutang PPN,Hutang lancar lainnya
220800,Hutang Lain-lain,Aktiva Lancar lainnya
230000,Hutang Jangka Panjang,Hutang lancar lainnya
300000,Modal,Ekuitas
31000100,OPENING BALANCE EQUITY,Ekuitas
32000200,Deviden,Ekuitas
32000100,Laba ( Rugi ) Ditahan,Ekuitas
400000,Pendapatan,Pendapatan
40000100,Penjualan,Pendapatan
40000200,Pendapatan Jasa,Pendapatan
40000300,Retur Penjualan,Pendapatan
40000400,Potongan Penjualan,Pendapatan
41010400,Sales Term Discount IDR,Pendapatan
500000,COGS,Harga Pokok Penjualan
51000100,Pembelian Barang PPN,Harga Pokok Penjualan
51000200,Retur Pembelian Barang,Harga Pokok Penjualan
51000300,Diskon Pembelian Barang,Harga Pokok Penjualan
51000400,Pembelian Barang Non PPN,Harga Pokok Penjualan
600000,BIAYA PEMASARAN UMUM & ADM,Beban
610000,Biaya Pemasaran,Beban
610100,Biaya Iklan,Beban
610200,Biaya Komisi,Beban
610400,Biaya Entertainment,Beban
619900,Biaya Overhead,Beban
612000,Biaya Transport,Beban
630000,Biaya Penyusutan & Amortisasi,Beban
63000100,Biaya Penyusutan Gedung,Beban
63000200,Biaya Penyusutan Kendaraan,Beban
63000300,Biaya Penyusutan Peralatan,Beban
